Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
34865,0.3,Premium,G,VVS2,62.6,58.0,878,4.28,4.25,2.67
31236,0.42,Very Good,D,SI1,61.5,58.0,756,4.8,4.83,2.96
28685,0.3,Good,G,VVS1,64.0,57.0,678,4.23,4.27,2.72
11509,1.01,Ideal,H,SI1,60.4,58.0,5020,6.5,6.54,3.94
50108,0.51,Ideal,G,IF,61.4,54.0,2208,5.18,5.24,3.2
43606,0.31,Very Good,E,SI1,58.7,60.0,507,4.45,4.48,2.62
35742,0.3,Ideal,D,VS2,62.3,56.0,911,4.3,4.27,2.67
5013,1.1,Premium,F,I1,59.8,61.0,3745,6.7,6.65,3.99
12813,1.13,Ideal,F,SI1,59.7,57.0,5342,6.82,6.79,4.06
29902,0.4,Very Good,G,SI1,61.0,56.0,711,4.77,4.8,2.92
49943,0.56,Very Good,D,VS1,60.8,60.0,2188,5.32,5.34,3.24
24879,1.62,Premium,F,SI1,62.6,58.0,13298,7.53,7.48,4.7
33298,0.31,Ideal,D,SI2,62.1,57.0,462,4.32,4.34,2.69
31100,0.3,Ideal,G,VVS1,62.6,55.0,753,4.27,4.32,2.69
28535,0.42,Fair,D,SI1,64.7,61.0,675,4.7,4.73,3.05
49440,0.7,Good,F,SI2,61.6,61.0,2109,5.66,5.68,3.49
51599,0.7,Good,I,VVS2,63.3,55.0,2394,5.61,5.67,3.57
36295,0.34,Very Good,I,VS2,62.1,57.0,477,4.44,4.48,2.77
34596,0.27,Very Good,E,VS2,63.1,57.0,470,4.07,4.11,2.58
9085,1.11,Good,H,SI1,64.2,58.0,4523,6.47,6.53,4.17
39724,0.5,Good,E,SI1,63.7,59.0,1090,5.07,5.01,3.21
2886,0.71,Very Good,G,VVS2,62.8,58.0,3281,5.69,5.75,3.59
51142,0.91,Good,E,I1,57.7,63.0,2342,6.35,6.3,3.65
42283,0.36,Ideal,G,SI2,62.3,54.0,505,4.57,4.61,2.86
1734,0.32,Premium,G,VS2,61.7,60.0,561,4.32,4.4,2.69
13229,1.21,Premium,H,VS2,60.8,62.0,5461,6.82,6.78,4.13
36622,0.24,Very Good,E,VVS2,62.8,58.0,478,3.92,3.95,2.47
26473,1.56,Ideal,G,VS1,61.3,56.0,16052,7.48,7.44,4.57
30843,0.33,Ideal,H,VS1,61.9,56.0,743,4.48,4.44,2.76
14223,1.68,Good,E,I1,64.3,60.0,5765,7.44,7.48,4.8
23477,2.02,Very Good,J,SI2,63.5,57.0,11475,7.94,8.02,5.07
16820,1.04,Premium,G,VS2,60.1,59.0,6709,6.59,6.56,3.95
8313,1.0,Good,H,SI1,63.9,56.0,4389,6.28,6.31,4.02
39827,0.39,Premium,G,VS1,62.4,57.0,1097,4.68,4.62,2.9
28058,0.38,Ideal,F,SI1,62.2,54.0,660,4.64,4.66,2.89
27788,0.37,Ideal,E,SI1,61.9,56.0,649,4.57,4.6,2.84
13361,0.24,Very Good,F,VS2,62.4,58.0,419,3.98,4.0,2.49
29191,0.4,Ideal,F,SI1,61.9,57.0,694,4.71,4.76,2.93
35669,0.35,Very Good,F,VVS1,62.3,56.0,909,4.53,4.57,2.83
35023,0.4,Very Good,E,SI1,63.5,55.0,882,4.71,4.67,2.98
21421,1.2,Very Good,E,VS2,60.6,56.0,9529,6.85,6.87,4.16
46101,0.55,Ideal,E,VS2,62.2,54.0,1741,5.29,5.26,3.28
48619,0.7,Very Good,H,SI2,61.5,63.0,1999,5.63,5.59,3.45
52803,0.7,Good,D,SI1,61.6,62.0,2570,5.67,5.72,3.51
23172,2.01,Premium,J,SI1,60.3,56.0,11188,8.02,7.96,4.82
25079,1.36,Premium,E,VVS2,59.8,59.0,13598,7.12,7.2,4.38
24425,2.06,Premium,H,SI2,62.6,58.0,12677,8.06,8.03,5.04
29051,0.4,Very Good,E,SI1,62.2,62.0,687,4.66,4.69,2.91
28626,0.33,Ideal,H,SI2,61.4,55.0,433,4.47,4.49,2.75
23614,1.51,Very Good,G,VS2,61.5,59.0,11640,7.34,7.38,4.53
32412,0.41,Ideal,D,SI1,60.3,57.0,791,4.82,4.86,2.92
3623,0.8,Good,F,VS2,63.2,55.0,3429,5.88,5.9,3.72
16600,1.51,Very Good,I,SI2,63.1,60.0,6630,7.19,7.13,4.52
46524,0.51,Premium,G,VS1,61.1,58.0,1781,5.19,5.12,3.15
17649,1.52,Very Good,J,VS2,63.1,61.0,7109,7.23,7.19,4.55
42945,0.3,Premium,F,SI2,62.6,61.0,506,4.24,4.2,2.64
37040,0.38,Good,H,VVS1,63.3,58.0,967,4.57,4.62,2.91
16474,1.02,Very Good,E,VS2,63.3,57.0,6582,6.37,6.43,4.05
13440,1.46,Premium,I,SI2,62.4,59.0,5519,7.21,7.16,4.49
31526,0.34,Very Good,E,SI1,63.3,56.0,765,4.44,4.41,2.8
7346,1.14,Ideal,J,SI2,61.5,57.0,4212,6.73,6.77,4.15
38810,0.31,Very Good,G,VVS1,63.5,57.0,1046,4.33,4.3,2.74
22991,2.06,Ideal,H,SI2,62.0,57.0,11040,8.1,8.06,5.01
12549,0.95,Good,E,VS2,57.7,58.0,5272,6.47,6.52,3.75
32831,0.33,Ideal,E,VS1,61.5,54.0,806,4.46,4.49,2.75
21848,1.01,Very Good,F,VVS1,62.1,58.0,9908,6.37,6.41,3.97
51523,0.72,Premium,F,SI1,62.0,60.0,2385,5.77,5.74,3.57
12966,1.19,Very Good,J,SI1,60.0,57.0,5390,6.93,6.89,4.15
36285,0.34,Ideal,E,SI2,62.0,56.0,477,4.45,4.48,2.77
7621,1.01,Good,D,SI2,63.1,54.0,4260,6.37,6.43,4.04
41365,0.65,Premium,I,SI2,60.7,58.0,1219,5.65,5.62,3.42
20244,1.08,Ideal,E,VS1,61.6,57.0,8674,6.58,6.61,4.06
47207,0.5,Ideal,G,VVS2,62.1,55.0,1838,5.05,5.09,3.15
8596,1.03,Ideal,E,SI2,62.5,56.0,4441,6.45,6.48,4.04
45546,0.51,Premium,D,SI1,61.0,60.0,1687,5.18,5.15,3.15
25818,2.01,Ideal,H,SI1,61.5,55.0,14837,8.11,8.06,4.97
1579,0.71,Ideal,G,SI1,61.9,56.0,3007,5.73,5.76,3.55
1004,0.79,Ideal,G,SI1,61.1,57.0,2898,5.98,5.93,3.64
2313,0.73,Good,F,VVS2,58.2,63.0,3166,5.87,6.01,3.46
24507,1.2,Premium,E,VVS2,62.3,59.0,12787,6.83,6.79,4.24
21845,1.2,Very Good,E,VS1,59.4,56.0,9904,6.94,7.0,4.14
49224,0.61,Very Good,G,VS1,62.7,57.0,2082,5.36,5.43,3.38
37820,0.32,Ideal,F,VVS2,61.3,56.0,1002,4.42,4.45,2.72
12689,1.04,Premium,H,SI1,60.7,62.0,5311,6.57,6.51,3.97
2050,0.32,Very Good,G,VS2,62.4,59.0,561,4.33,4.36,2.71
4867,0.8,Ideal,F,VS2,61.2,58.0,3713,5.99,6.03,3.68
22903,1.61,Premium,H,SI1,62.5,58.0,10942,7.51,7.46,4.68
7043,1.06,Very Good,G,SI2,61.1,62.0,4162,6.55,6.61,4.02
35383,0.41,Very Good,G,VS1,60.0,61.0,899,4.77,4.86,2.89
31233,0.44,Good,F,SI1,63.8,54.0,756,4.8,4.85,3.08
10146,1.14,Ideal,I,SI1,61.8,57.0,4724,6.76,6.68,4.15
36560,0.4,Premium,E,SI1,61.3,59.0,945,4.74,4.69,2.89
32999,0.38,Premium,D,SI2,59.2,61.0,812,4.72,4.67,2.78
30218,0.33,Ideal,E,VS2,62.0,56.0,723,4.46,4.48,2.77
53877,0.7,Ideal,E,SI1,61.7,55.0,2745,5.71,5.74,3.53
29884,0.3,Ideal,D,VS2,62.2,54.0,710,4.28,4.31,2.67
14723,0.3,Premium,H,VVS2,62.0,58.0,605,4.3,4.35,2.68
21051,0.31,Premium,F,VS2,59.3,60.0,625,4.39,4.41,2.61
48209,0.58,Premium,G,SI1,62.4,60.0,1949,5.34,5.3,3.32
19157,1.02,Ideal,F,VS1,61.5,56.0,7916,6.47,6.5,3.99
7941,1.02,Premium,F,SI2,60.3,59.0,4318,6.53,6.5,3.93
49399,0.5,Very Good,E,VVS2,62.6,59.0,2105,5.02,5.05,3.15
15019,1.0,Premium,G,VS2,61.3,62.0,6048,6.43,6.32,3.91
29664,0.35,Ideal,F,VS2,62.3,55.0,706,4.53,4.56,2.83
23502,1.52,Ideal,G,SI1,63.0,55.0,11510,7.31,7.38,4.63
2186,1.0,Ideal,H,I1,61.3,57.0,3136,6.44,6.41,3.94
46029,0.57,Premium,I,VVS1,62.1,58.0,1728,5.32,5.25,3.28
18116,1.01,Good,G,VVS2,62.4,59.0,7332,6.32,6.37,3.96
41425,0.54,Ideal,H,SI1,62.5,53.0,1227,5.22,5.25,3.27
27752,0.32,Premium,I,VS1,62.6,58.0,648,4.4,4.38,2.75
14600,1.24,Ideal,F,SI2,61.7,57.0,5889,6.95,6.88,4.27
42855,0.41,Premium,D,VVS2,61.2,62.0,1356,4.82,4.78,2.94
25524,1.51,Very Good,E,VS2,60.8,60.0,14338,7.3,7.36,4.46
44390,0.41,Ideal,D,VVS1,62.3,57.0,1582,4.77,4.73,2.96
22458,1.21,Ideal,G,VVS1,61.4,58.0,10483,6.85,6.89,4.22
35510,0.41,Very Good,E,SI1,63.1,57.0,904,4.78,4.73,3.0
49069,1.0,Premium,H,I1,62.7,59.0,2058,6.39,6.33,3.98
40192,0.4,Good,G,IF,59.7,62.0,1120,4.75,4.8,2.85
12928,1.01,Good,E,SI1,64.3,59.0,5379,6.23,6.28,4.02
22835,1.5,Good,E,SI1,61.3,65.0,10868,7.17,7.23,4.41
10890,1.0,Good,G,SI1,64.4,54.0,4882,6.29,6.32,4.06
14800,1.2,Very Good,I,VS2,62.3,56.0,5955,6.76,6.81,4.23
43122,0.52,Premium,D,SI2,62.4,59.0,1385,5.15,5.05,3.18
30730,0.32,Ideal,F,VVS2,62.1,54.0,739,4.42,4.44,2.75
42436,0.53,Ideal,D,SI2,61.9,55.0,1314,5.19,5.24,3.23
26161,1.5,Premium,F,VS1,59.6,60.0,15478,7.49,7.41,4.44
44978,0.32,Ideal,I,VS1,62.0,54.0,523,4.37,4.41,2.72
17331,1.11,Very Good,G,VS2,62.2,57.0,6953,6.55,6.6,4.09
14808,1.3,Ideal,H,VS1,62.2,57.0,5962,7.01,6.98,4.35
5784,1.04,Premium,H,SI1,60.0,58.0,3902,6.59,6.52,3.93
42608,0.36,Premium,E,SI2,60.6,59.0,505,4.57,4.61,2.78
11962,1.08,Premium,D,SI2,62.1,58.0,5138,6.62,6.59,4.1
8201,1.0,Fair,H,VS1,65.4,61.0,4368,6.22,6.17,4.05
8199,1.0,Premium,G,SI2,61.8,59.0,4368,6.38,6.33,3.93
16590,1.36,Premium,J,VS2,61.9,59.0,6626,7.09,7.06,4.38
38924,0.51,Premium,F,SI2,58.1,59.0,1052,5.26,5.24,3.05
4499,0.9,Premium,H,SI1,60.0,56.0,3629,6.33,6.27,3.78
28349,0.33,Ideal,G,VS1,61.1,56.0,666,4.46,4.48,2.73
4289,0.97,Premium,D,SI2,60.4,61.0,3585,6.4,6.37,3.86
17981,1.7,Ideal,H,SI2,62.1,57.0,7273,7.68,7.63,4.75
875,0.84,Good,G,SI1,65.1,55.0,2872,5.88,5.97,3.86
52834,0.7,Premium,F,VS2,62.0,56.0,2573,5.72,5.67,3.53
24814,2.29,Ideal,J,SI2,62.3,57.0,13200,8.39,8.43,5.24
35105,0.3,Ideal,F,IF,62.2,57.0,886,4.3,4.32,2.68
19439,1.51,Ideal,J,VS1,62.7,56.0,8092,7.3,7.35,4.59
23935,2.09,Premium,H,SI1,60.5,61.0,12063,8.32,8.25,5.01
41488,0.52,Ideal,I,VS2,61.9,58.0,1232,5.14,5.17,3.19
26277,1.52,Ideal,G,VVS2,60.6,57.0,15760,7.45,7.49,4.52
32442,0.43,Premium,F,SI1,62.6,58.0,792,4.77,4.81,3.0
34507,0.4,Very Good,F,VS1,60.4,58.0,868,4.75,4.79,2.88
51613,0.73,Very Good,E,SI2,62.1,58.0,2395,5.75,5.81,3.59
22891,1.57,Premium,H,VS1,60.5,61.0,10930,7.6,7.51,4.57
28865,0.4,Ideal,E,SI1,63.2,56.0,684,4.66,4.71,2.96
22704,0.3,Ideal,G,VS2,60.8,57.0,630,4.38,4.33,2.65
435,0.74,Premium,G,VS1,61.7,58.0,2815,5.79,5.81,3.58
34844,0.3,Premium,G,VVS2,61.2,59.0,878,4.35,4.31,2.65
37082,0.41,Very Good,F,SI1,63.2,59.0,969,4.72,4.68,2.97
34458,0.36,Very Good,H,IF,60.8,57.0,865,4.58,4.6,2.79
18888,1.01,Ideal,F,VS1,62.0,57.0,7745,6.42,6.46,3.99
9032,0.27,Ideal,I,VVS2,61.2,56.0,587,4.18,4.2,2.56
21084,1.41,Good,H,VS2,63.8,60.0,9254,7.12,7.04,4.52
5703,0.3,Premium,D,SI2,62.4,59.0,574,4.28,4.25,2.66
34179,0.33,Ideal,G,VS1,61.6,57.0,854,4.45,4.41,2.73
25800,2.02,Premium,F,SI2,61.5,60.0,14790,8.15,8.05,4.98
17944,1.7,Premium,I,SI2,59.4,59.0,7250,7.83,7.75,4.63
38269,0.3,Ideal,J,VS2,62.1,56.0,384,4.29,4.34,2.68
4742,0.76,Ideal,F,VS1,62.2,56.0,3680,5.83,5.87,3.64
50252,0.7,Premium,F,SI2,59.5,58.0,2234,5.82,5.72,3.44
7411,1.05,Ideal,H,SI1,62.0,56.0,4223,6.53,6.46,4.03
15543,1.03,Ideal,G,VS2,60.3,56.0,6229,6.59,6.55,3.96
33355,0.41,Very Good,G,VS2,61.0,56.0,827,4.81,4.83,2.94
8580,1.01,Good,E,SI2,60.7,62.0,4436,6.43,6.49,3.92
15432,1.0,Good,G,VS1,62.4,62.0,6177,6.33,6.37,3.96
39170,0.4,Ideal,J,IF,62.6,56.0,1063,4.75,4.71,2.96
9742,0.9,Ideal,F,SI1,61.7,57.0,4657,6.25,6.2,3.84
2957,0.82,Premium,E,SI1,62.5,56.0,3295,6.01,5.96,3.74
11095,1.0,Fair,G,VVS2,65.5,54.0,4928,6.3,6.22,4.1
13264,1.11,Premium,F,SI1,60.1,61.0,5483,6.74,6.64,4.06
19847,1.12,Very Good,G,VVS1,60.9,57.0,8408,6.67,6.72,4.08
49416,0.63,Ideal,D,VS2,61.1,55.0,2106,5.6,5.56,3.41
11897,0.9,Premium,E,VS1,62.1,59.0,5116,6.15,6.09,3.8
52581,0.7,Ideal,E,SI1,61.9,55.0,2537,5.74,5.77,3.56
27370,0.28,Ideal,E,VVS2,60.3,57.0,646,4.21,4.25,2.55
17787,1.01,Ideal,G,VVS2,60.6,57.0,7167,6.54,6.5,3.95
25780,1.82,Premium,H,VS2,61.6,60.0,14749,7.78,7.74,4.78
38372,0.5,Very Good,J,VS2,63.4,58.0,1023,5.07,5.02,3.2
3059,0.38,Very Good,J,VS2,60.5,60.0,566,4.64,4.68,2.82
8344,1.02,Very Good,E,SI2,60.5,58.0,4398,6.54,6.58,3.97
51342,0.74,Good,H,SI1,62.4,65.0,2362,5.78,5.71,3.59
46650,0.3,Good,H,VS1,63.3,57.0,526,4.22,4.25,2.68
44075,0.56,Premium,E,VS2,61.1,59.0,1552,5.27,5.34,3.24
33511,0.4,Ideal,J,IF,62.4,56.0,828,4.71,4.74,2.95
45316,0.32,Very Good,G,VS2,60.1,61.0,524,4.41,4.44,2.66
47145,0.53,Ideal,F,VS1,62.4,57.0,1832,5.18,5.21,3.24
3378,0.31,Very Good,G,SI2,62.3,57.0,408,4.33,4.37,2.71
40781,0.31,Premium,D,IF,60.2,59.0,1167,4.39,4.42,2.65
46887,0.54,Premium,F,VS2,62.4,55.0,1814,5.23,5.19,3.25
31796,0.42,Ideal,F,SI1,60.9,55.0,773,4.84,4.88,2.96
20358,1.51,Ideal,I,SI1,62.4,59.0,8752,7.27,7.34,4.56
19629,1.51,Good,F,SI2,63.8,59.0,8245,7.22,7.18,4.59
27070,1.21,Premium,D,VVS1,60.1,59.0,17192,6.96,6.88,4.16
40829,0.57,Very Good,G,SI2,60.5,56.0,1171,5.41,5.44,3.28
22360,0.31,Ideal,H,VS2,62.6,57.0,628,4.38,4.34,2.73
16986,1.21,Ideal,H,VS1,62.7,56.0,6784,6.79,6.84,4.27
22073,1.31,Very Good,E,VS2,63.1,56.0,10094,6.95,6.9,4.37
39152,0.33,Ideal,F,VVS1,62.1,56.0,1062,4.46,4.43,2.76
11813,1.16,Ideal,I,SI1,62.6,57.0,5091,6.71,6.67,4.19
14075,1.03,Ideal,E,SI1,62.0,53.0,5710,6.5,6.47,4.02
47184,0.54,Ideal,F,VS2,61.9,56.0,1836,5.22,5.21,3.23
14562,1.0,Ideal,E,SI1,61.6,55.0,5880,6.45,6.43,3.97
50739,0.58,Premium,G,VS2,62.2,58.0,2297,5.35,5.32,3.32
9738,1.2,Premium,J,SI1,61.5,59.0,4657,6.84,6.81,4.2
29473,0.32,Ideal,E,VS2,62.0,57.0,702,4.37,4.41,2.72
5210,0.9,Ideal,G,SI1,60.3,56.0,3780,6.27,6.23,3.77
1375,0.75,Ideal,F,SI1,61.2,55.0,2966,5.87,5.92,3.61
3540,0.73,Ideal,G,VS1,60.7,57.0,3411,5.85,5.81,3.54
34497,0.32,Ideal,F,VVS1,61.7,55.0,867,4.38,4.43,2.72
2165,0.7,Very Good,D,VS2,61.2,60.0,3131,5.73,5.77,3.52
46089,0.53,Ideal,E,VS2,61.3,55.0,1739,5.22,5.25,3.21
1566,0.8,Very Good,H,SI1,63.0,57.0,3005,5.89,5.95,3.73
51939,0.72,Very Good,I,VS1,63.7,57.0,2441,5.66,5.7,3.62
41907,0.51,Very Good,G,SI1,59.7,58.0,1261,5.2,5.26,3.12
8747,0.91,Good,G,VVS2,64.1,58.0,4464,6.1,6.06,3.9
23580,1.25,Very Good,G,VVS1,60.2,58.0,11589,6.97,7.04,4.22
45056,0.58,Very Good,E,SI1,63.1,56.0,1641,5.36,5.32,3.37
8474,1.01,Ideal,F,SI2,62.5,55.0,4416,6.39,6.4,4.0
11327,1.18,Premium,G,SI2,60.5,60.0,4988,6.88,6.81,4.14
3218,0.91,Good,D,SI2,64.1,62.0,3349,6.06,6.01,3.87
36046,0.34,Very Good,G,IF,61.0,56.0,924,4.5,4.54,2.76
19119,1.0,Ideal,G,VVS2,59.8,54.0,7885,6.58,6.54,3.92
32254,0.3,Premium,E,VVS2,60.1,59.0,789,4.32,4.37,2.61
45551,0.51,Ideal,D,SI1,61.7,55.0,1687,5.16,5.11,3.17
28454,0.41,Ideal,G,SI1,62.2,56.0,671,4.75,4.77,2.96
13739,0.41,Premium,F,SI2,59.0,58.0,604,4.87,4.89,2.88
45414,0.51,Ideal,G,VS1,60.4,59.0,1668,5.16,5.21,3.13
43186,0.54,Very Good,G,SI1,63.8,57.0,1392,5.16,5.19,3.3
17087,1.2,Very Good,G,VS1,63.3,57.0,6814,6.77,6.71,4.26
21960,1.02,Very Good,E,IF,61.7,60.0,10029,6.38,6.52,3.98
30464,0.41,Good,J,VS2,64.0,59.0,732,4.71,4.64,2.99
11188,1.0,Ideal,G,SI1,62.0,57.0,4956,6.39,6.32,3.94
41883,0.57,Ideal,I,VS2,61.6,54.0,1258,5.35,5.4,3.31
42979,0.41,Ideal,E,VVS1,61.3,57.0,1367,4.77,4.79,2.93
41359,0.53,Very Good,G,SI1,61.0,55.0,1219,5.21,5.32,3.21
40252,0.6,Ideal,I,SI2,62.2,54.0,1125,5.4,5.44,3.37
32700,0.31,Ideal,F,VS2,62.3,55.0,802,4.38,4.35,2.72
